,ADDR_PCT_CD,BORO_NM,JURISDICTION_CODE,LAW_CAT_CD,Latitude,Longitude,FIPS
1440,28,MANHATTAN,0.0,MISDEMEANOR,40.807699163,-73.947384858,360610222002001
1441,104,QUEENS,0.0,VIOLATION,40.700505267,-73.90076551899999,360810551001003
1442,104,QUEENS,0.0,MISDEMEANOR,40.700505267,-73.90076551899999,360810551001003
1443,120,STATEN ISLAND,0.0,FELONY,40.632891042,-74.07683171800001,360850021001004
1444,60,BROOKLYN,0.0,FELONY,40.57490191,-73.986610561,360470326002001
1445,106,QUEENS,0.0,MISDEMEANOR,40.677605279,-73.82821878,360810100001003
1446,60,BROOKLYN,0.0,MISDEMEANOR,40.578521154,-73.96721361,360470364002003
1447,72,BROOKLYN,0.0,MISDEMEANOR,40.656819019000004,-73.978405565,360470171003000
1448,73,BROOKLYN,0.0,VIOLATION,40.66389656,-73.905325609,360470910003000
1449,120,STATEN ISLAND,0.0,MISDEMEANOR,40.632891042,-74.07683171800001,360850021001004
1450,49,BRONX,0.0,FELONY,40.848832717,-73.845046814,360050200002000
1451,105,QUEENS,0.0,MISDEMEANOR,40.663247929,-73.73109346300001,360810656002001
1452,73,BROOKLYN,0.0,VIOLATION,40.66389656,-73.905325609,360470910003000
1453,88,BROOKLYN,0.0,MISDEMEANOR,40.683910001,-73.966974308,360470199002001
1454,79,BROOKLYN,2.0,FELONY,40.696493892,-73.949430815,360470255002000
1455,46,BRONX,0.0,MISDEMEANOR,40.862287428,-73.899804688,360050401003000
1456,48,,,FELONY,40.856121627,-73.892378083,360050385002001
1457,6,MANHATTAN,0.0,MISDEMEANOR,40.735617612,-73.99266921899999,360610052002006
1458,28,MANHATTAN,0.0,FELONY,40.80707632,-73.947847719,360610222002002
1459,28,MANHATTAN,0.0,MISDEMEANOR,40.80707632,-73.947847719,360610222002002
1460,62,BROOKLYN,0.0,FELONY,40.622209288,-74.000077088,360470190001002
1461,83,BROOKLYN,0.0,VIOLATION,40.686019282,-73.912015222,360470401001000
1462,44,BRONX,0.0,VIOLATION,40.835581344,-73.90967084,360050177021000
1463,114,QUEENS,0.0,FELONY,40.760427178,-73.91228512800001,360810151002005
1464,62,BROOKLYN,0.0,MISDEMEANOR,40.597269238,-73.98610195,360470298002003
1465,70,BROOKLYN,0.0,MISDEMEANOR,40.647020039000004,-73.958124133,360470794001011
1466,9,MANHATTAN,2.0,MISDEMEANOR,40.725332748,-73.972672183,360610024002001
1467,49,BRONX,0.0,MISDEMEANOR,40.853026281999995,-73.866740032,360050224041001
1468,40,BRONX,0.0,MISDEMEANOR,40.819307445,-73.902355087,360050077001007
1469,40,BRONX,0.0,MISDEMEANOR,40.819307445,-73.902355087,360050077001007
1470,40,BRONX,0.0,MISDEMEANOR,40.819307445,-73.902355087,360050077001007
1471,70,BROOKLYN,0.0,FELONY,40.624657123,-73.95513737899999,360470762001001
1472,30,MANHATTAN,0.0,MISDEMEANOR,40.819074033,-73.95567832399999,360610219002001
1473,18,MANHATTAN,0.0,FELONY,40.766508632,-73.982362725,360610137004002
1474,44,BRONX,0.0,MISDEMEANOR,40.837781618,-73.919457971,360050221013002
1475,88,BROOKLYN,0.0,MISDEMEANOR,40.690007777,-73.963322105,360470193003001
1476,14,MANHATTAN,1.0,MISDEMEANOR,40.756043535,-73.986949544,360610119002005
1477,113,QUEENS,0.0,MISDEMEANOR,40.673234325,-73.79710074399999,360810790002000
1478,104,QUEENS,0.0,MISDEMEANOR,40.700850601,-73.894038881,360810581002008
1479,67,BROOKLYN,0.0,VIOLATION,40.653247201,-73.956109234,360470796021001
1480,75,BROOKLYN,0.0,MISDEMEANOR,40.668677239000004,-73.86831594,360471208002007
1481,60,BROOKLYN,0.0,MISDEMEANOR,40.576325477,-73.967801451,360470360011001
1482,78,BROOKLYN,0.0,MISDEMEANOR,40.680785613000005,-73.97447511600001,360470161001002
1483,25,MANHATTAN,0.0,MISDEMEANOR,40.801932033,-73.935654106,360610194004000
1484,114,QUEENS,0.0,MISDEMEANOR,40.759169793000005,-73.91940142,360810155002001
1485,40,BRONX,0.0,MISDEMEANOR,40.807197754,-73.924299287,360050023003001
1486,41,BRONX,0.0,VIOLATION,40.822811283,-73.897837171,360050129011005
1487,19,MANHATTAN,0.0,VIOLATION,40.781827307,-73.947322251,360610154002000
1488,6,MANHATTAN,0.0,MISDEMEANOR,40.733405399,-74.006351987,360610075003004
1489,13,MANHATTAN,0.0,MISDEMEANOR,40.740160295,-73.99480502600001,360610087001003
