,Location,Longitude,Latitude,Borough,FIPS
1072,E 174 ST,-73.877039,40.83374,Bronx,360050056001000
1073,RANDALL AV,-73.865314,40.816615000000006,Bronx,360050020002003
1074,RANDALL AV,-73.862398,40.817163,Bronx,360050020001005
1075,E TREMONT AV,-73.892457,40.845973,Bronx,360050369012000
1076,Williamsbridge Rd,-73.858062,40.862782,Bronx,360050324001001
1077,NEREID AV,-73.854704,40.898502,Bronx,360050418001000
1078,E 149 ST,-73.913439,40.814536,Bronx,360050071002016
1079,E 138 ST,-73.912975,40.805011,Bronx,360050027022001
1080,E 138 ST,-73.913049,40.804846999999995,Bronx,360050027022002
1081,E 161 ST,-73.918236,40.825388000000004,Bronx,360050173004001
1082,E 149 ST,-73.91029300000001,40.813379,Bronx,360050035002000
1083,E 149 ST,-73.906951,40.812692,Bronx,360050035003000
1084,UNION PORT RD,-73.856329,40.836043,Bronx,360050212003001
1085,UNION PORT RD,-73.86317,40.841131,Bronx,360050210014001
1086,UNION PORT RD,-73.861875,40.839433,Bronx,360050216023002
1087,W FORDHAM RD,-73.908585,40.862897,Bronx,360050263001001
1088,WEBSTER AV,-73.907093,40.836494,Bronx,360050147023000
1089,WEBSTER AV,-73.90839100000001,40.834202000000005,Bronx,360050147011002
1090,MORRIS AV,-73.924033,40.815219,Bronx,360050051003000
1091,MORRIS AV,-73.92575699999999,40.812823,Bronx,360050051002007
1092,E 149 ST,-73.923121,40.817602,Bronx,360050065002004
1093,BOSTON RD,-73.849473,40.876151,Bronx,360050386007001
1094,E 163 ST,-73.893158,40.82107,Bronx,360050159001001
1095,E 163 ST,-73.893598,40.820875,Bronx,360050087002000
1096,HUNTS POINT AV,-73.887088,40.815905,Bronx,360050117001004
1097,MORRIS AV,-73.92123199999999,40.820479,Bronx,360050067003001
1098,WILLIS AV,-73.922861,40.808896000000004,Bronx,360050025003000
1099,WILLIS AV,-73.919862,40.813052,Bronx,360050043003001
1100,WILLIS AV,-73.920392,40.81275,Bronx,360050041004000
1101,WILLIS AV,-73.922884,40.809344,Bronx,360050039002001
1102,BAINBRIDGE AV,-73.87874599999999,40.880678,Bronx,360050421001000
