,NAME,LINE,Longitude,Latitude,FIPS
668,McDonald Ave & Avenue M at SE corner,F,-73.97427,40.61616,3.60E+14
669,McDonald Ave & Avenue S at NW corner,F,-73.97264,40.602197,3.60E+14
670,McDonald Ave & Avenue S at NE corner,F,-73.972379,40.602178,3.60E+14
671,179th St & Hillside Ave at NE corner,F,-73.784411,40.71264,3.61E+14
672,179th St & Hillside Ave at SE corner,F,-73.78428,40.712295,3.61E+14
673,179th St & Hillside Ave at NE corner,F,-73.784669,40.712575,3.61E+14
674,179th St & Hillside Ave at SW corner,F,-73.784456,40.71224,3.61E+14
675,179th St & Hillside Ave at NW corner,F,-73.785064,40.712483,3.61E+14
676,179th St & Hillside Ave at SW corner,F,-73.784968,40.712242,3.61E+14
677,168th St & Hillside Ave at SW corner,F,-73.794712,40.709812,3.61E+14
678,168th St & Hillside Ave at NW corner,F,-73.794922,40.710154,3.61E+14
679,168th St & Hillside Ave at SE corner,F,-73.794564,40.709852,3.61E+14
680,168th St & Hillside Ave at NE corner,F,-73.79473,40.710184,3.61E+14
681,153rd St & Hillside Ave at SE corner,F,-73.804332,40.707062,3.61E+14
682,153rd St & Hillside Ave at NE corner,F,-73.804498,40.707358,3.61E+14
683,153rd St & Hillside Ave at SW corner,F,-73.80462,40.707063,3.61E+14
684,144th St & Hillside Ave at NE corner,F,-73.81186,40.705341,3.61E+14
685,144th St & Hillside Ave at SW corner,F,-73.811956,40.704906,3.61E+14
686,Union Tpke & Queens Blvd at SE corner,E-F,-73.830886,40.714145,3.61E+14
687,Union Tpke & Queens Blvd at SW corner,E-F,-73.83162,40.715019,3.61E+14
688,Union Tpke & Queens Blvd at NW corner,E-F,-73.832151,40.714673,3.61E+14
689,Union Tpke & Queens Blvd at NW corner,E-F,-73.831501,40.714929,3.61E+14
690,70th Rd & Queens Blvd at NW corner,e-F-M-R,-73.845153,40.722269,3.61E+14
691,71st & Queens Blvd at SW corner,E-F-M-R,-73.844632,40.721409,3.61E+14
692,108th St & Queens Blvd at NW corner,E-F-M-R,-73.844352,40.721916,3.61E+14
693,67th Dr & Queens Blvd at SW corner,M-R,-73.852186,40.72603,3.61E+14
694,67th Dr & Queens Blvd at NW corner,M-R,-73.851592,40.726367,3.61E+14
695,Horace Harding Expwy & Queens Blvd at NE corner,M-R,-73.868605,40.733188,3.61E+14
696,73rd St & 37th Rd at NE corner,E-F-M-R-7,-73.892146,40.747238,3.61E+14
697,73rd St & Broadway at SW corner,E-F-M-R-7,-73.892555,40.747034,3.61E+14
698,54th St & Broadway at SW corner,M-R,-73.906847,40.753428,3.61E+14
699,48th St & Newtown Rd at NE corner,M-R,-73.91218,40.756029,3.61E+14
700,Court Street & Montague Street at SE corner,R-2-3-4-5,-73.990304,40.693594,3.60E+14
701,Cadman Plaza West & Montague St at NE corner,R-2-3-4-5,-73.990119,40.693838,3.60E+14
702,Court St & Montague St at SW corner,R-2-3-4-5,-73.990599,40.693569,3.60E+14
703,Court St & Montague St at SW corner,R-2-3-4-5,-73.99063,40.693728,3.60E+14
704,Hoyt St & Fulton St at SW corner,3-Feb,-73.985299,40.690388,3.60E+14
705,Flatbush Ave & Livingston St at NW corner,2-3-4-5,-73.980639,40.688235,3.60E+14
706,Flatbush Ave & Livingston St at NW corner,2-3-4-5,-73.980506,40.688053,3.60E+14
707,Ashland Pl & Hanson Pl at SE corner,B-D-N-Q-R-2-3-4-5,-73.97788,40.684976,3.60E+14
708,Flatbush Ave & Bergen St at SE corner,3-Feb,-73.974748,40.680695,3.60E+14
709,Flatbush Ave & Bergen St at NE corner,3-Feb,-73.97496,40.680911,3.60E+14
710,Flatbush Ave & Plaza Street West at SW corner,3-Feb,-73.97099,40.67495,3.60E+14
711,Flatbush Ave & Plaza Street East at SE corner,3-Feb,-73.970822,40.67511,3.60E+14
712,Flatbush Ave & Plaza Street West at NW corner,3-Feb,-73.971216,40.675142,3.60E+14
713,Flatbush Ave & Plaza Street East at SE corner,3-Feb,-73.970825,40.675286,3.60E+14
714,Washington Ave & Eastern Pkwy at NW corner,3-Feb,-73.964154,40.672122,3.60E+14
715,Washington Ave & Eastern Pkwy at SW corner,3-Feb,-73.964301,40.671789,3.60E+14
716,Franklin Ave & Eastern Pkwy at SE corner,FS-2-3-4-5,-73.957806,40.670485,3.60E+14
717,Franklin Ave & Eastern Pkwy at NE corner,FS-2-3-4-5,-73.957696,40.670732,3.60E+14
718,Franklin Ave & Eastern Pkwy at SE corner,FS-2-3-4-5,-73.957973,40.670337,3.60E+14
