FIPS,Resp_HI
36047002901,4.366
36047003000,3.138
36047003100,4.018
36047003300,3.481
36047003400,3.36
36047003500,3.403
36047003600,3.036
36047003700,3.648
36047003800,3.249
36047003900,3.374
36047004100,3.526
36047004300,3.636
36047004400,3.147
36047004500,3.843
36047004600,3.026
36047004700,4.461
36047004900,4.115
36047005000,3.05
36047005100,4.85
36047005201,3.176
36047005202,3.815
36047005300,2.965
36047005400,3.262
36047005601,3.557
36047005602,3.739
36047005800,3.012
36047005900,3.705
36047006000,2.958
36047006200,2.862
36047006300,3.885
36047006400,2.84
36047006500,3.448
36047006600,3.117
36047006700,3.478
36047006800,3.099
36047006900,3.548
36047007000,3.606
36047007100,3.418
36047007200,5.213
36047007400,3.34
36047007500,3.351
36047007600,3.289
36047007700,3.307
36047007800,3.311
36047008000,3.188
36047008200,3.153
36047008400,3.065
36047008500,3.238
36047008600,X
36047008800,2.932
36047009000,2.929
36047009200,3.04
36047009400,3.021
36047009600,3.025
36047009800,3.068
36047010000,3.075
36047010100,3.121
36047010200,3.07
36047010400,3.022
36047010600,3.17
36047010800,3.037
36047011000,3.05
36047011200,3.043
36047011400,2.888
36047011600,2.835
36047011700,3.683
36047011800,2.88
36047011900,3.421
36047012000,3.045
36047012100,3.305
36047012200,3.694
36047012600,3.778
36047012700,3.316
36047012801,2.879
36047012901,3.231
36047012902,3.284
36047013000,3.052
36047013100,3.408
36047013200,2.756
36047013300,3.323
36047013400,3.254
36047013500,3.355
36047013600,3.413
36047013700,3.238
36047013800,3.386
36047013900,3.486
36047014000,3.306
36047014100,3.617
36047014200,3.933
36047014300,6.805
36047014500,3.509
36047014700,5.68
36047014800,2.808
36047014900,4.435
36047015000,2.797
36047015100,3.528
36047015200,3.728
36047015300,3.406
36047015400,X
36047015500,3.209
36047015700,3.392
36047015900,3.234
36047016000,3.753
36047016100,3.293
36047016200,4.068
36047016300,3.142
36047016400,4.048
36047016500,3.352
36047016600,2.885
36047016700,3.389
36047016800,3.683
36047016900,4.015
36047017000,2.982
36047017100,4.052
36047017200,2.849
36047017400,3.372
36047017500,2.47
36047017600,3.544
36047017700,X
36047017800,2.977
36047017900,3.222
36047018000,2.927
36047018100,3.54
36047018200,3.068
36047018300,3.865
36047018400,2.793
36047018501,4.773
36047018600,2.872
36047018700,4.568
36047018800,2.894
36047019000,3.008
36047019100,4.24
36047019200,2.708
36047019300,3.321
36047019400,2.73
36047019500,3.501
36047019600,2.985
36047019700,3.293
36047019800,2.843
36047019900,3.205
36047020000,2.911
36047020100,3.239
36047020200,2.959
36047020300,3.155
36047020400,2.963
36047020500,3.281
36047020600,2.879
36047020700,3.41
36047020800,2.859
36047021000,2.83
36047021100,3.923
36047021200,2.8
36047021300,3.335
36047021400,2.776
36047021500,3.452
36047021600,2.735
36047021700,3.339
36047021800,2.792
36047021900,3.132
36047022000,2.884
36047022100,3.139
36047022200,2.907
36047022400,2.9
36047022600,3.041
36047022700,3.157
36047022800,3.031
36047022900,3.386
36047023000,2.907
36047023100,3.334
36047023200,2.914
36047023300,3.312
36047023400,2.848
36047023500,3.396
36047023600,2.837
36047023800,2.769
36047024000,2.762
36047024100,3.321
36047024200,2.661
36047024300,3.189
36047024400,2.716
36047024500,3.204
36047024600,3.332
36047024700,3.212
36047024800,3.016
36047024900,3.124
36047025000,2.832
36047025100,3.101
36047025200,3.003
36047025300,3.148
36047025400,3.095
36047025500,3.336
36047025600,2.953
36047025700,3.085
36047025800,3.248
36047025901,3.189
36047025902,3.249
36047026000,3.057
36047026100,3.072
36047026200,2.931
36047026300,2.997
36047026400,2.957
36047026500,3.068
36047026600,3.327
36047026700,3.074
36047026800,2.936
36047026900,3.116
36047027000,2.774
36047027100,3.136
36047027200,2.846
36047027300,3.069
36047027400,2.911
36047027500,3.082
36047027600,2.888
36047027700,3.015
36047027800,2.959
36047027900,3.135
36047028000,3.255
36047028100,3.137
36047028200,3.302
36047028300,3.165
36047028400,2.99
36047028501,3.041
36047028502,3.077
36047028600,3.352
36047028700,3.047
36047028800,2.959
36047028900,3.031
36047029000,2.92
36047029100,3.04
36047029200,3.356
36047029300,3.011
36047029400,3.298
36047029500,3.087
36047029600,2.939
36047029700,3.107
36047029800,2.808
36047029900,3.027
36047030000,3.023
36047030100,2.98
36047030200,2.832
36047030300,3.003
36047030400,2.969
36047030500,3.342
36047030600,2.677
36047030700,3.122
36047030800,2.753
36047030900,3.004
36047031100,3.141
36047031300,3.111
36047031400,2.904
36047031500,3.127
36047031701,3.145
36047031702,3.16
36047031900,3.168
36047032100,3.238
36047032300,3.231
36047032500,3.475
36047032600,2.403
36047032700,3.402
36047032800,2.354
36047032900,3.424
36047033000,2.353
36047033100,3.249
36047033300,3.125
36047033500,3.085
36047033600,2.203
36047033700,3.094
36047033900,3.091
36047034000,2.212
36047034100,3.017
36047034200,2.339
36047034300,3.072
36047034500,3.041
36047034700,3.069
36047034800,2.912
36047034900,3.155
36047035000,2.84
36047035100,3.094
36047035200,2.072
36047035300,3.136
36047035400,3.324
36047035500,3.299
36047035601,4.365
36047035602,5.538
36047035700,2.951
36047035900,3.097
36047036001,3.245
36047036002,2.959
36047036100,3.008
36047036200,3.009
36047036300,2.979
36047036400,3.076
36047036501,3.074
36047036502,2.904
36047036600,3.659
36047036700,2.934
36047036900,2.968
36047037000,2.837
36047037100,2.947
36047037300,3.011
36047037401,3.079
36047037402,3.138
36047037500,3.048
36047037700,2.934
36047037900,3.041
36047038100,2.937
36047038200,2.998
36047038300,3.06
36047038500,3.077
36047038600,2.86
36047038700,2.99
36047038800,2.859
36047038900,3.117
36047039000,2.733
36047039100,3.221
36047039200,2.729
36047039300,3.077
36047039400,2.697
36047039500,3.025
36047039600,2.707
36047039700,3.019
36047039800,2.807
36047039900,3.004
36047040000,2.81
36047040100,2.944
36047040200,2.832
36047040300,3
36047040400,2.837
36047040500,3.012
36047040600,2.86
36047040700,2.879
36047040800,2.876
36047040900,3.058
36047041000,2.722
36047041100,3.003
36047041200,2.843
36047041300,2.968
36047041401,2.858
36047041402,2.714
36047041500,3.017
36047041600,2.842
36047041700,3.068
36047041800,2.758
36047041900,3.059
36047042000,2.944
36047042100,3.078
36047042200,2.834
36047042300,3.081
36047042400,2.879
36047042500,3.16
36047042600,3.009
36047042700,3.229
36047042800,2.956
36047042900,3.198
36047043000,2.946
36047043100,3.215
36047043200,2.998
36047043300,3.134
36047043400,2.936
36047043500,3.095
36047043600,3.037
36047043700,3.094
36047043800,2.879
36047043900,3.039
36047044000,2.841
36047044100,3.24
36047044200,2.83
36047044300,3.221
36047044400,2.953
36047044500,3.181
36047044600,2.941
36047044700,3.299
36047044800,2.656
36047044900,3.133
36047045000,2.616
36047045200,2.549
36047045300,3.193
36047045400,2.691
36047045600,2.691
36047045800,2.816
36047046000,2.923
36047046201,2.768
36047046202,2.727
36047046400,2.803
36047046800,2.641
36047047000,2.587
36047047200,2.659
36047047400,2.87
36047047600,2.805
36047047700,3.958
36047047800,2.792
